element,f_bus,t_bus
f2419f53-8f77-4f4a-9bf0-e42dd634e6a0,991d7be4-c4d7-4fa7-96e9-90d172407d67,5a2d7ccc-25ba-4998-a57e-d7f5e04ac972
7d690c4b-2ce2-4f98-bc34-c351be2a15d8,07b85de1-d6d1-414e-ab54-c79dc759a249,05c9f3b1-6f7b-4d3a-8276-12e169cce8bb
edd94178-971b-4810-8123-f3141864f142,07b85de1-d6d1-414e-ab54-c79dc759a249,aaf8e516-a9b1-43bb-b7f3-dd1ae23d536c
0bab15ae-daa5-4dd7-ad25-0b579ca6d9d3,00d2e7cf-49e2-4b14-a92d-3566d0196bc1,132f94b8-658e-4acb-a76f-903117e58b2d
47a8f1c0-2c7a-4db2-9323-03fa0f316b48,afca63e8-d6b8-41ae-8157-758686481655,4b29f6a8-99e9-4287-913e-4905a8a2434b
5a1057dc-4039-4d3e-a5da-04a56b8af355,dc2b30ff-b88b-45be-bd9d-bfc7eed772e9,0297cd02-8e6b-429a-98eb-cf73bc9cce79
a32c3749-a431-4fc4-9a22-7340439c22da,802d6305-d5d3-4c82-a1fa-c1068a41a1e6,8aee28b1-d380-4a22-9fa0-52201e2251ba
8e380077-3c52-4953-98e2-c450a7976f82,dbea0aa2-cf0a-4389-bf60-cf7daf56e36e,413f0cbb-28c5-4cea-8bfe-e70f84e88774
62915657-5027-4a88-a945-387b43668fd2,aff9ae03-f537-453d-be57-85545d5e1aeb,2511c2c5-023b-4956-a202-7e38f0bcfb5b
5a80c419-068f-4249-95ec-963f6ec5a696,2a334c7d-a0c7-407c-ab21-b5d0892af0b8,aff9ae03-f537-453d-be57-85545d5e1aeb
1947a493-dec2-4aac-b2a4-c00385b9c777,aff9ae03-f537-453d-be57-85545d5e1aeb,7343ab5f-7c5c-4a01-a66a-d6093b93b6bf
2fa1866a-852c-4646-9813-e44d0379d476,aff9ae03-f537-453d-be57-85545d5e1aeb,71c009d4-cf4a-4ac1-b361-3b81e734dd1e
e81c0980-b175-4285-8e46-a408c433cd8a,1204e52c-914b-432c-b228-e8246bdffd5a,6e179987-13c3-4b63-be96-f43b64d9d651
b29037d9-1409-4f60-8701-787f471a9642,1a4226f9-939b-465d-8549-f0b77a7541fa,44bd1e61-382d-4f56-8233-cd33bb9e41e7
57f2cd01-e4be-4ace-8537-1014dd304e44,bfa5c803-d36a-4b21-a268-b0f8da1b4c0c,a2e46993-da9b-4a84-bde9-a387d0398af6
2b8d2677-4ed7-4ee8-a32f-3430923be7fd,bfa5c803-d36a-4b21-a268-b0f8da1b4c0c,0eaa99e3-7c9f-4416-9115-f317f5464da7
01949dd3-5146-4e88-ad5f-5df8ef689725,bfa5c803-d36a-4b21-a268-b0f8da1b4c0c,989baa47-f9a1-4d58-92c4-f8bef50b7eb0
